"","report_date","tBalance","yBalance","total_purchase_amt","direct_purchase_amt","purchase_bal_amt","purchase_bank_amt","total_redeem_amt","consume_amt","transfer_amt","tftobal_amt","tftocard_amt","share_amt","category1","category2","category3","category4"
"1",2013-07-01,280567690,259273317,22533121,22502672,14140316,8362356,1238748,1199570,39178,39178,0,30449,0,6500,0,1193070
"2",2013-07-02,306977031,280567690,29624840,29591090,16106502,13484588,3215499,266571,2948928,2948928,0,33750,0,134100,0,132471
"3",2013-07-03,325117053,306977031,22525940,22485387,15129464,7355923,4385918,771851,3614067,3614067,0,40553,123220,60000,0,588631
"4",2013-07-04,344383113,325117053,32111643,32068710,24635710,7433000,12845583,901346,11944237,11944237,0,42933,12909,22350,0,866087
"5",2013-07-05,357961334,344383113,16129924,16086829,7333000,8753829,2551703,506884,2044819,2044819,0,43095,92110,182850,0,231924
"6",2013-07-06,371851858,357961334,16179865,16133269,11553423,4579846,2289341,610312,1679029,1679029,0,46596,305000,119500,0,185812
"7",2013-07-07,383004960,371851858,15516443,15469391,12158881,3310510,4363341,355660,4007681,4007681,0,47052,203940,0,0,151720
"8",2013-07-08,465847432,383004960,98730828,98684730,92432577,6252153,15888356,1151535,14736821,14736821,0,46098,587874,105029,0,458632
"9",2013-07-09,473096232,465847432,18623071,18576844,14396674,4180170,11374271,714141,10660130,10660130,0,46227,23404,352100,0,338637
"10",2013-07-10,496987242,473096232,42210154,42152074,33207722,8944352,18319144,1631597,16687547,16687547,0,58080,7800,396390,0,1227407
"11",2013-07-11,524671275,496987242,29843023,29785800,22898235,6887565,2158990,591657,1567333,1567333,0,57223,0,144400,0,447257
"12",2013-07-12,543044447,524671275,23202473,23140797,21496062,1644735,4829301,606899,4222402,4222402,0,61676,15584,3900,0,587415
"13",2013-07-13,560044022,543044447,19218553,19153972,10859896,8294076,2218978,1213796,1005182,1005182,0,64581,749538,60110,0,404148
"14",2013-07-14,657877371,560044022,101209093,101142953,97145183,3997770,3375744,1544520,1831224,1831224,0,66140,516053,158801,0,869666
"15",2013-07-15,738773170,657877371,106271409,106207543,99138126,7069417,25375610,690012,24685598,24685598,0,63866,218250,37704,0,434058
"16",2013-07-16,732931563,738773170,26323198,26249079,19190204,7058875,32164805,1802373,30362432,30362432,0,74119,1098822,6100,0,697451
"17",2013-07-17,735134015,732931563,28834269,28750910,19330209,9420701,26631817,2844758,23787059,23787059,0,83359,2e+06,521300,0,323458
"18",2013-07-18,754601099,735134015,27609385,27524976,18103728,9421248,8142301,1305095,6837206,6837206,0,84409,147961,264300,0,892834
"19",2013-07-19,877488802,754601099,126301368,126214101,116438521,9775580,3413665,1563103,1850562,1850562,0,87267,1125498,40670,0,396935
"20",2013-07-20,893593705,877488802,20662791,20573182,9953584,10619598,4557888,1565305,2992583,2992583,0,89609,830134,217800,0,517371
"21",2013-07-21,967901329,893593705,81375803,81285835,76051418,5234417,7068179,1493558,5574621,5574621,0,89968,310673,78000,0,1104885
"22",2013-07-22,996672095,967901329,37844074,37756694,33540370,4216324,9073308,1000374,8072934,8072934,0,87380,25689,226026,0,748659
"23",2013-07-23,1013111836,996672095,25115410,25013190,17934667,7078523,8675669,1653115,7022554,7022554,0,102220,969010,325646,0,358459
"24",2013-07-24,1033168999,1013111836,29405789,29289408,22591024,6698384,9348626,1048058,8300568,8300568,0,116381,602346,90700,0,355012
"25",2013-07-25,1094439801,1033168999,123922858,123806262,115261805,8544457,62652056,3144501,59507555,59507555,0,116596,419606,42600,0,2682295
"26",2013-07-26,1108553705,1094439801,25835746,25721550,19005025,6716525,11721842,1303120,10418722,10418722,0,114196,705555,29203,0,568362
"27",2013-07-27,1133851837,1108553705,31021548,30894865,16813821,14081044,5723416,1894447,3828969,3828969,0,126683,890000,200540,0,803907
"28",2013-07-28,1127224771,1133851837,26260152,26133373,17681455,8451918,32887218,3230419,29656799,29656799,0,126779,2118617,97500,0,1014302
"29",2013-07-29,1171979427,1127224771,59130418,59007801,47890006,11117795,14375762,565772,13809990,13809990,0,122617,72310,104388,0,389074
"30",2013-07-30,1190962021,1171979427,35410500,35281515,26947112,8334403,16427906,1018281,15409625,15409625,0,128985,30765,299656,0,687860
"31",2013-07-31,1300752719,1190962021,122942064,122802640,101493461,21309179,13151366,1055178,12096188,12096188,0,139424,0,43100,0,1012078
"32",2013-08-01,1356499509,1300752719,61905830,61764339,43674529,18089810,6159040,1500737,4658303,4658303,0,141491,510000,50724,0,940013
"33",2013-08-02,1409193015,1356499509,73104389,72946287,60196614,12749673,20410883,2073885,18336998,18336998,0,158102,1086354,213047,0,774484
"34",2013-08-03,1415621430,1409193015,31370682,31208415,27596463,3611952,24942267,858743,24083524,24083524,0,162267,225390,233111,0,400242
"35",2013-08-04,1444224511,1415621430,45251520,45090890,36177767,8913123,16648439,2095237,14553202,14553202,0,160630,2900,302319,0,1790018
"36",2013-08-05,1372645732,1444224511,51533056,51376270,31267567,20108703,123111835,1530976,121580859,121580859,0,156786,388038,535451,0,607487
"37",2013-08-06,1376690218,1372645732,27348705,27197221,18783430,8413791,23304219,1965428,21338791,21338791,0,151484,608200,133000,0,1224228
"38",2013-08-07,1387968567,1376690218,24953363,24790194,16637468,8152726,13675014,2053840,11621174,11621174,0,163169,1309925,86184,0,657731
"39",2013-08-08,1422110062,1387968567,44702970,44537579,30662735,13874844,10561475,2993652,7567823,7567823,0,165391,2477618,33987,0,482047
"40",2013-08-09,1452761754,1422110062,46197838,46029750,29283211,16746539,15546146,1045192,14500954,14500954,0,168088,0,158600,0,886592
"41",2013-08-10,1455223012,1452761754,44403831,44233582,39241996,4991586,41942573,3922065,38020508,38020508,0,170249,1777508,898785,0,1245772
"42",2013-08-11,1492620945,1455223012,42840984,42674222,38048951,4625271,5443051,1729114,3713937,3713937,0,166762,868000,163950,0,697164
"43",2013-08-12,1482989311,1492620945,33901418,33738035,20732902,13005133,43533052,1747140,41785912,41785912,0,163383,410000,53700,0,1283440
"44",2013-08-13,1499519965,1482989311,45856548,45689861,28678905,17010956,29325894,1872616,27453278,27453278,0,166687,91488,377900,0,1403228
"45",2013-08-14,1514865062,1499519965,39066415,38888544,20020584,18867960,23721318,1737373,21983945,21983945,0,177871,295293,545092,0,896988
"46",2013-08-15,1522122182,1514865062,29238678,29059058,16533407,12525651,21981558,1909768,20071790,20071790,0,179620,410900,245153,0,1253715
"47",2013-08-16,1518443646,1522122182,54635823,54454147,46805362,7648785,58314359,978171,57336188,57336188,0,181676,79675,224000,0,674496
"48",2013-08-17,1482674715,1518443646,15688245,15507070,5312811,10194259,51457176,2920376,48536800,48490854,45946,181175,1609250,268056,0,1043070
"49",2013-08-18,1492158494,1482674715,45069353,44893407,26123512,18769895,35585574,1069899,34515675,33564849,950826,175946,6246,339700,0,723953
"50",2013-08-19,1513068257,1492158494,48319110,48148456,28063111,20085345,27409347,1673824,25735523,24051175,1684348,170654,666792,63120,0,943912
"51",2013-08-20,1537369786,1513068257,51304276,51130804,21077598,30053206,27002747,2023168,24979579,24743538,236041,173472,1103942,240300,0,678926
"52",2013-08-21,1564762311,1537369786,45762636,45580125,19939480,25640645,18370111,2082502,16287609,15195799,1091810,182511,95611,355836,0,1631055
