"","report_date","tBalance","yBalance","total_purchase_amt","direct_purchase_amt","purchase_bal_amt","purchase_bank_amt","total_redeem_amt","consume_amt","transfer_amt","tftobal_amt","tftocard_amt","share_amt","category1","category2","category3","category4"
"1",2013-07-01,252327861,225364535,32488348,32458786,21250722,11208064,5525022,382160,5142862,5142862,0,29562,0,89350,0,292810
"2",2013-07-02,278810703,252327861,29037390,29007510,16561183,12446327,2554548,350066,2204482,2204482,0,29880,0,1650,0,348416
"3",2013-07-03,300127606,278810703,27270770,27234156,20493660,6740496,5953867,454406,5499461,5499461,0,36614,0,69764,0,384642
"4",2013-07-04,312038062,300127606,18321185,18282230,12108178,6174052,6410729,535391,5875338,5875338,0,38955,25078,107500,0,402813
"5",2013-07-05,320923224,312038062,11648749,11607991,6930431,4677560,2763587,697926,2065661,2065661,0,40758,0,51100,0,646826
"6",2013-07-06,356057861,320923224,36751272,36709190,31533483,5175707,1616635,300533,1316102,1316102,0,42082,0,21800,0,278733
"7",2013-07-07,361037358,356057861,8962232,8920335,5257768,3662567,3982735,336880,3645855,3645855,0,41897,0,0,0,336880
"8",2013-07-08,409947895,361037358,57258266,57218409,47490938,9727471,8347729,852530,7495199,7495199,0,39857,219851,3500,0,629179
"9",2013-07-09,433273777,409947895,26798941,26755943,21541164,5214779,3473059,765509,2707550,2707550,0,42998,60000,0,0,705509
"10",2013-07-10,461373114,433273777,30696506,30644691,20475437,10169254,2597169,603737,1993432,1993432,0,51815,8000,267500,0,328237
"11",2013-07-11,501939511,461373114,44075197,44021031,38701392,5319639,3508800,981695,2527105,2527105,0,54166,325455,2194,0,654046
"12",2013-07-12,527630842,501939511,34183904,34126845,28358933,5767912,8492573,1371072,7121501,7121501,0,57059,483604,173268,0,714200
"13",2013-07-13,539312730,527630842,15164717,15103661,8461168,6642493,3482829,309654,3173175,3173175,0,61056,0,45584,0,264070
"14",2013-07-14,559143926,539312730,22615303,22554354,18447507,4106847,2784107,592038,2192069,2192069,0,60949,0,182560,0,409478
"15",2013-07-15,594164538,559143926,48128555,48069686,28401224,19668462,13107943,1521794,11586149,11586149,0,58869,679000,222000,0,620794
"16",2013-07-16,632922404,594164538,50622847,50559618,39657799,10901819,11864981,1529687,10335294,10335294,0,63229,744302,60000,0,725385
"17",2013-07-17,651026573,632922404,29015682,28946382,25167271,3779111,10911513,2109498,8802015,8802015,0,69300,1348120,50000,0,711378
"18",2013-07-18,663495722,651026573,24234505,24160561,12633212,11527349,11765356,3195410,8569946,8569946,0,73944,577438,2081710,0,536262
"19",2013-07-19,687931077,663495722,33680124,33603190,25296006,8307184,9244769,1204252,8040517,8040517,0,76934,713031,140760,0,350461
"20",2013-07-20,703769013,687931077,20439079,20360981,14965131,5395850,4601143,1780862,2820281,2820281,0,78098,229770,376900,0,1174192
"21",2013-07-21,722230076,703769013,21142394,21064648,14155152,6909496,2681331,761299,1920032,1920032,0,77746,1e+05,26681,0,634618
"22",2013-07-22,743534705,722230076,40448896,40374049,33166661,7207388,19144267,605231,18539036,18539036,0,74847,20220,64584,0,520427
"23",2013-07-23,777266801,743534705,58136147,58056583,48105087,9951496,24404051,2173231,22230820,22230820,0,79564,483047,2000,0,1688184
"24",2013-07-24,789430727,777266801,48422518,48337561,38512434,9825127,36258592,712047,35546545,35546545,0,84957,320000,12669,0,379378
"25",2013-07-25,808651309,789430727,57433418,57347209,42064761,15282448,38212836,1557611,36655225,36655225,0,86209,526800,183410,0,847401
"26",2013-07-26,814180757,808651309,44721817,44633279,33299638,11333641,39192369,1035450,38156919,38156919,0,88538,469737,48517,0,517196
"27",2013-07-27,816316315,814180757,17194451,17102400,10482577,6619823,15058893,1922114,13136779,13136779,0,92051,1005922,58834,0,857358
"28",2013-07-28,844888486,816316315,36255382,36164421,32964064,3200357,7683211,1161872,6521339,6521339,0,90961,551807,27184,0,582881
"29",2013-07-29,879801198,844888486,53512076,53423360,41820041,11603319,18599364,1202332,17397032,17397032,0,88716,559277,121890,0,521165
"30",2013-07-30,914233859,879801198,47481243,47387817,33779762,13608055,13048582,1318647,11729935,11729935,0,93426,510220,88782,0,719645
"31",2013-07-31,959269456,914233859,54569637,54465204,46575247,7889957,9534040,1191442,8342598,8342598,0,104433,651652,68160,0,471630
"32",2013-08-01,993774950,959269456,53369962,53261431,29717147,23544284,18864468,1935577,16928891,16928891,0,108531,897850,156126,0,881601
"33",2013-08-02,991688717,993774950,38064536,37949861,25198904,12750957,40150769,1140935,39009834,39009834,0,114675,130341,295063,0,715531
"34",2013-08-03,992582709,991688717,21595789,21479421,10093238,11386183,20701797,1725397,18976400,18976400,0,116368,1029086,69092,0,627219
"35",2013-08-04,1030063998,992582709,45745254,45630463,41159712,4470751,8263965,1389042,6874923,6874923,0,114791,591302,106568,0,691172
"36",2013-08-05,1057898694,1030063998,43632203,43520180,18112798,25407382,15797507,1757807,14039700,14039700,0,112023,583097,150694,0,1024016
"37",2013-08-06,1092363491,1057898694,50866184,50749514,38122413,12627101,16401387,2956008,13445379,13445379,0,116670,1331960,417870,0,1206178
"38",2013-08-07,1106562866,1092363491,43908081,43781998,29774898,14007100,29708706,1552975,28155731,28155731,0,126083,417462,261378,0,874135
"39",2013-08-08,1121504665,1106562866,44493490,44364177,32476695,11887482,29551691,1136867,28414824,28414824,0,129313,321867,86103,0,728897
"40",2013-08-09,1124798836,1121504665,33425186,33294291,26619531,6674760,30131015,3500833,26630182,26630182,0,130895,2442888,153280,0,904665
