"","report_date","purchase","redeem"
"1",2013-07-01,22533121,1238748
"2",2013-07-02,29624840,3215499
"3",2013-07-03,22525940,4385918
"4",2013-07-04,32111643,12845583
"5",2013-07-05,16129924,2551703
"6",2013-07-06,16179865,2289341
"7",2013-07-07,15516443,4363341
"8",2013-07-08,98730828,15888356
"9",2013-07-09,18623071,11374271
"10",2013-07-10,42210154,18319144
"11",2013-07-11,29843023,2158990
"12",2013-07-12,23202473,4829301
"13",2013-07-13,19218553,2218978
"14",2013-07-14,101209093,3375744
"15",2013-07-15,106271409,25375610
"16",2013-07-16,26323198,32164805
"17",2013-07-17,28834269,26631817
"18",2013-07-18,27609385,8142301
"19",2013-07-19,126301368,3413665
"20",2013-07-20,20662791,4557888
"21",2013-07-21,81375803,7068179
"22",2013-07-22,37844074,9073308
"23",2013-07-23,25115410,8675669
"24",2013-07-24,29405789,9348626
"25",2013-07-25,123922858,62652056
"26",2013-07-26,25835746,11721842
"27",2013-07-27,31021548,5723416
"28",2013-07-28,26260152,32887218
"29",2013-07-29,59130418,14375762
"30",2013-07-30,35410500,16427906
"31",2013-07-31,122942064,13151366
"32",2013-08-01,61905830,6159040
"33",2013-08-02,73104389,20410883
"34",2013-08-03,31370682,24942267
"35",2013-08-04,45251520,16648439
"36",2013-08-05,51533056,123111835
"37",2013-08-06,27348705,23304219
"38",2013-08-07,24953363,13675014
"39",2013-08-08,44702970,10561475
"40",2013-08-09,46197838,15546146
"41",2013-08-10,44403831,41942573
"42",2013-08-11,42840984,5443051
"43",2013-08-12,33901418,43533052
"44",2013-08-13,45856548,29325894
"45",2013-08-14,39066415,23721318
"46",2013-08-15,29238678,21981558
"47",2013-08-16,54635823,58314359
"48",2013-08-17,15688245,51457176
"49",2013-08-18,45069353,35585574
"50",2013-08-19,48319110,27409347
"51",2013-08-20,51304276,27002747
"52",2013-08-21,45762636,18370111
"53",2013-08-22,26545809,18620771
"54",2013-08-23,33855284,16009856
"55",2013-08-24,54574111,14426635
"56",2013-08-25,17586501,12426430
"57",2013-08-26,52044963,16794905
"58",2013-08-27,49273164,23573930
"59",2013-08-28,57249467,68685109
"60",2013-08-29,31008331,29996101
"61",2013-08-30,29172174,17631447
"62",2013-08-31,27720016,12893797
"63",2013-09-01,60276302,18155299
"64",2013-09-02,42168974,27437595
"65",2013-09-03,58345539,20886668
"66",2013-09-04,55301172,23688242
"67",2013-09-05,42500904,17937329
"68",2013-09-06,38650095,22744929
"69",2013-09-07,49801798,17830433
"70",2013-09-08,24810658,19393890
"71",2013-09-09,55565482,22529834
"72",2013-09-10,81305151,61880908
"73",2013-09-11,93077458,45646088
"74",2013-09-12,50035862,16797004
"75",2013-09-13,48041116,10624127
"76",2013-09-14,34379286,22263774
"77",2013-09-15,38956366,17385227
"78",2013-09-16,104399397,14276435
"79",2013-09-17,75209349,21022169
"80",2013-09-18,41969227,17777697
"81",2013-09-19,40861546,11095259
"82",2013-09-20,33601331,15710134
"83",2013-09-21,61641978,23219290
"84",2013-09-22,59188234,75805107
"85",2013-09-23,37338427,26564396
"86",2013-09-24,56008378,26722196
"87",2013-09-25,107206248,54563516
"88",2013-09-26,49684160,32334604
"89",2013-09-27,51076556,21422361
"90",2013-09-28,46758852,37660670
"91",2013-09-29,76038490,77461238
"92",2013-09-30,49151321,34100714
"93",2013-10-01,22858568,8869210
"94",2013-10-02,15700008,10393202
"95",2013-10-03,7251212,14700007
"96",2013-10-04,22868589,12046540
"97",2013-10-05,21245166,13019900
"98",2013-10-06,40318288,14733990
"99",2013-10-07,56730939,82606688
"100",2013-10-08,115047417,60758100
"101",2013-10-09,67339813,26611167
"102",2013-10-10,93642539,36132959
"103",2013-10-11,68845671,31646212
"104",2013-10-12,95312628,36724035
"105",2013-10-13,40381173,46888025
"106",2013-10-14,158158044,41243215
"107",2013-10-15,108776071,58286788
"108",2013-10-16,156977224,40682099
"109",2013-10-17,73354575,45517673
"110",2013-10-18,80573607,29644051
"111",2013-10-19,47140830,12115532
"112",2013-10-20,78146352,27240757
"113",2013-10-21,92303765,86625521
"114",2013-10-22,79936840,29426313
"115",2013-10-23,91267273,36092748
"116",2013-10-24,78253878,69717843
"117",2013-10-25,72866681,62677596
"118",2013-10-26,89152724,27504517
"119",2013-10-27,58360160,25646394
"120",2013-10-28,175987478,67747746
"121",2013-10-29,147891369,52687221
"122",2013-10-30,123495252,63435426
"123",2013-10-31,105655220,93841828
"124",2013-11-01,90052647,46678116
"125",2013-11-02,60697754,21879168
"126",2013-11-03,109705314,33749172
"127",2013-11-04,134705147,108318485
"128",2013-11-05,170112074,128585154
"129",2013-11-06,177181307,131796343
"130",2013-11-07,219191421,149424128
"131",2013-11-08,249304249,99248361
"132",2013-11-09,123652022,59247170
"133",2013-11-10,158993537,123840519
"134",2013-11-11,143416540,246064757
"135",2013-11-12,173549641,74456493
"136",2013-11-13,158376990,54302781
"137",2013-11-14,148622821,42611824
"138",2013-11-15,116112820,44380574
"139",2013-11-16,85621804,38584607
"140",2013-11-17,98492364,35055232
"141",2013-11-18,145222355,65817333
"142",2013-11-19,165943591,60013853
"143",2013-11-20,149019647,83122720
"144",2013-11-21,236672974,75803920
"145",2013-11-22,139140591,66623532
"146",2013-11-23,85234876,88449004
"147",2013-11-24,97522283,60355364
"148",2013-11-25,188023955,91230946
"149",2013-11-26,181397027,79919049
"150",2013-11-27,152083973,178457547
"151",2013-11-28,152510165,107063218
"152",2013-11-29,144836611,96242909
"153",2013-11-30,94687796,76461088
"154",2013-12-01,179080325,95291329
"155",2013-12-02,207768089,107045755
"156",2013-12-03,176533224,105284341
"157",2013-12-04,253181565,91187713
"158",2013-12-05,152989262,75925859
"159",2013-12-06,198597129,92725974
"160",2013-12-07,116093484,53512763
"161",2013-12-08,127532403,53648650
"162",2013-12-09,214664521,152407205
"163",2013-12-10,281121012,78077384
"164",2013-12-11,316266609,126368276
"165",2013-12-12,172183635,117455386
"166",2013-12-13,146722615,83443683
"167",2013-12-14,134839018,73250223
"168",2013-12-15,119396143,59674345
"169",2013-12-16,188230089,86266515
"170",2013-12-17,212780998,109073593
"171",2013-12-18,190985922,91560802
"172",2013-12-19,144026114,112370684
"173",2013-12-20,131176893,148188232
"174",2013-12-21,91445173,59536553
"175",2013-12-22,140558599,56877147
"176",2013-12-23,190330016,179886396
"177",2013-12-24,182690432,133342747
"178",2013-12-25,153343940,212312830
"179",2013-12-26,187935531,146764679
"180",2013-12-27,173898861,252417542
"181",2013-12-28,199852196,101848650
"182",2013-12-29,173772752,74663175
"183",2013-12-30,286491118,103985798
"184",2013-12-31,326974771,113254499
"185",2014-01-01,335862570,77073258
"186",2014-01-02,301179400,124541441
"187",2014-01-03,291336871,115361983
"188",2014-01-04,155828144,71718874
"189",2014-01-05,321343539,106824899
"190",2014-01-06,371683914,139233405
"191",2014-01-07,339901798,110203644
"192",2014-01-08,271765172,115536959
"193",2014-01-09,345036273,121195295
"194",2014-01-10,296993855,119859597
"195",2014-01-11,178289447,116820618
"196",2014-01-12,192128885,80041533
"197",2014-01-13,292143045,164389088
"198",2014-01-14,337203610,194979118
"199",2014-01-15,233318844,114905112
"200",2014-01-16,490563564,136931314
"201",2014-01-17,262046075,154263565
"202",2014-01-18,184240864,107190052
"203",2014-01-19,301523785,117846810
"204",2014-01-20,312028349,259973410
"205",2014-01-21,337095722,176724296
"206",2014-01-22,462593233,183458941
"207",2014-01-23,294368520,332744686
"208",2014-01-24,450511317,188651670
"209",2014-01-25,349192126,131010888
"210",2014-01-26,446945594,214348269
"211",2014-01-27,715461017,260269121
"212",2014-01-28,870587680,256692351
"213",2014-01-29,1183825013,274603869
"214",2014-01-30,242566772,99811984
"215",2014-01-31,90124260,29125625
"216",2014-02-01,101183694,51483587
"217",2014-02-02,86649833,35016210
"218",2014-02-03,85303404,92071628
"219",2014-02-04,92866528,61618152
"220",2014-02-05,162119647,70100225
"221",2014-02-06,225661839,89786438
"222",2014-02-07,621409043,356235057
"223",2014-02-08,315242286,134579390
"224",2014-02-09,336607101,143211947
"225",2014-02-10,632298767,418611061
"226",2014-02-11,670470102,315239225
"227",2014-02-12,551106906,425221290
"228",2014-02-13,461212821,301079648
"229",2014-02-14,522331058,233371566
"230",2014-02-15,305214647,110240413
"231",2014-02-16,361250311,139432186
"232",2014-02-17,675485671,314699059
"233",2014-02-18,422741202,246229299
"234",2014-02-19,642931201,247608257
"235",2014-02-20,527167832,276717727
"236",2014-02-21,394746918,206572952
"237",2014-02-22,235659822,129881807
"238",2014-02-23,308396249,237023147
"239",2014-02-24,595170010,326481227
"240",2014-02-25,713994252,349836501
"241",2014-02-26,486006154,476270827
"242",2014-02-27,537812517,660825256
"243",2014-02-28,420504763,282310184
"244",2014-03-01,215356482,148429245
"245",2014-03-02,275779265,163786963
"246",2014-03-03,523895828,360144530
"247",2014-03-04,521644375,278261421
"248",2014-03-05,497668868,275381156
"249",2014-03-06,495755683,366030834
"250",2014-03-07,492623841,274009352
"251",2014-03-08,215355021,157996615
"252",2014-03-09,296559440,169872578
"253",2014-03-10,533357693,296534165
"254",2014-03-11,488913889,267437055
"255",2014-03-12,317050657,298538230
"256",2014-03-13,438410772,255918695
"257",2014-03-14,319556555,270497983
"258",2014-03-15,201137958,242196362
"259",2014-03-16,219592025,188184766
"260",2014-03-17,411958428,420064650
"261",2014-03-18,302616910,341931886
"262",2014-03-19,295342178,414884867
"263",2014-03-20,302584612,304013906
"264",2014-03-21,274386390,280963645
"265",2014-03-22,145506447,200897470
"266",2014-03-23,167604758,160853972
"267",2014-03-24,330726069,318658552
"268",2014-03-25,337425152,362444778
"269",2014-03-26,426653122,257938486
"270",2014-03-27,266160879,326543305
"271",2014-03-28,223771699,372161003
"272",2014-03-29,194925803,138171183
"273",2014-03-30,161565264,256893459
"274",2014-03-31,377931423,497687416
"275",2014-04-01,424784984,280407782
"276",2014-04-02,418550858,234601543
"277",2014-04-03,301858010,259172151
"278",2014-04-04,235574221,171218775
"279",2014-04-05,171320519,130175071
"280",2014-04-06,132973045,86148848
"281",2014-04-07,237413785,151211943
"282",2014-04-08,360613734,241500693
"283",2014-04-09,465391689,301919971
"284",2014-04-10,325897532,292651452
"285",2014-04-11,275556141,263431235
"286",2014-04-12,198643801,177456118
"287",2014-04-13,202424482,199455537
"288",2014-04-14,359340606,315904149
"289",2014-04-15,337278983,333481946
"290",2014-04-16,344518277,258644563
"291",2014-04-17,268273324,259158950
"292",2014-04-18,297030419,212558260
"293",2014-04-19,131860659,161932743
"294",2014-04-20,161634908,175154181
"295",2014-04-21,381369739,416482875
"296",2014-04-22,268322472,329994810
"297",2014-04-23,262963640,289670313
"298",2014-04-24,203798291,348965167
"299",2014-04-25,320373050,231507912
"300",2014-04-26,184640194,110439209
"301",2014-04-27,167611543,241292798
"302",2014-04-28,285236269,413667536
"303",2014-04-29,303772841,340918574
"304",2014-04-30,232262878,274590040
"305",2014-05-01,197451051,113440731
"306",2014-05-02,129869154,103269793
"307",2014-05-03,229609301,174430184
"308",2014-05-04,297192156,282088123
"309",2014-05-05,425987710,324920452
"310",2014-05-06,323536443,295986647
"311",2014-05-07,406395515,221742769
"312",2014-05-08,353562072,267751934
"313",2014-05-09,265472393,158473997
"314",2014-05-10,227672886,258495276
"315",2014-05-11,208480221,142970887
"316",2014-05-12,285228437,338432936
"317",2014-05-13,362372059,250343867
"318",2014-05-14,290208996,297491596
"319",2014-05-15,303286621,435249186
"320",2014-05-16,254644568,200510199
"321",2014-05-17,116291491,179594252
"322",2014-05-18,161097108,145479624
"323",2014-05-19,347718384,422101826
"324",2014-05-20,286615315,197106347
"325",2014-05-21,241015636,292385050
"326",2014-05-22,273390048,295631432
"327",2014-05-23,200156003,223981714
"328",2014-05-24,141641047,233305829
"329",2014-05-25,169866612,147245163
"330",2014-05-26,266803815,415178334
"331",2014-05-27,249676185,369000169
"332",2014-05-28,268930576,381785376
"333",2014-05-29,339227554,402129748
"334",2014-05-30,248860973,276489019
"335",2014-05-31,128370165,153225467
"336",2014-06-01,143942297,111076626
"337",2014-06-02,176770324,157408750
"338",2014-06-03,285424724,372184784
"339",2014-06-04,275697613,327061084
"340",2014-06-05,309000179,302841375
"341",2014-06-06,255880246,217295228
"342",2014-06-07,155141863,206165504
"343",2014-06-08,181144835,180076832
"344",2014-06-09,442360742,241085611
"345",2014-06-10,389636668,282137606
"346",2014-06-11,311384505,277431859
"347",2014-06-12,267188252,256164551
"348",2014-06-13,256177180,284281673
"349",2014-06-14,148539864,289810759
"350",2014-06-15,201999390,217992393
"351",2014-06-16,336917078,383963086
"352",2014-06-17,324524255,331341050
"353",2014-06-18,266480068,358972950
"354",2014-06-19,282577514,322086055
