"","report_date","total_purchase_amt","total_redeem_amt"
"1",20130701,26481789,4987627
"2",20130702,42294741,2001122
"3",20130703,39982848,6696363
"4",20130704,52010236,5802023
"5",20130705,27914661,2168151
"6",20130706,26515206,3475754
"7",20130707,15707751,1268446
"8",20130708,33931825,3386894
"9",20130709,71424210,13393692
"10",20130710,32017607,2870656
"11",20130711,25598973,5622480
"12",20130712,29141330,9180778
"13",20130713,13401761,77638830
"14",20130714,29684832,10861958
"15",20130715,41190414,8169411
"16",20130716,28701991,14151391
"17",20130717,42449325,8261619
"18",20130718,33944525,6680942
"19",20130719,49157459,9126069
"20",20130720,13801674,7149004
"21",20130721,39413192,9845777
"22",20130722,34189461,8111484
"23",20130723,37601767,15985838
"24",20130724,28760162,18882958
"25",20130725,33687290,16766622
"26",20130726,37669579,13036886
"27",20130727,23367261,11278117
"28",20130728,18970799,10520893
"29",20130729,46630999,21478364
"30",20130730,33552161,10417825
"31",20130731,42735903,13328364
"32",20130801,67690361,20168155
"33",20130802,32733747,8783808
"34",20130803,22087708,7346249
"35",20130804,25515713,5997479
"36",20130805,55362760,13202720
"37",20130806,46782223,22729071
"38",20130807,40748609,14782070
"39",20130808,51993030,16837088
"40",20130809,42489014,22840532
"41",20130810,26700059,32997917
"42",20130811,23790101,11503469
"43",20130812,52650030,29944567
"44",20130813,54558947,19762389
"45",20130814,41583275,15560452
"46",20130815,45965280,30571614
"47",20130816,28996188,17694344
"48",20130817,22739925,9625835
"49",20130818,30194904,11295925
"50",20130819,62317589,23809223
"51",20130820,61337100,12323712
"52",20130821,60466736,19382190
"53",20130822,33455135,19396963
"54",20130823,55170377,19865848
"55",20130824,24224610,12166018
"56",20130825,26095192,15903115
"57",20130826,44749979,22357172
"58",20130827,52645399,28407021
"59",20130828,37386461,30209601
"60",20130829,35766107,34792467
"61",20130830,47229180,15585193
"62",20130831,39251486,18275209
"63",20130901,42033936,17120383
"64",20130902,77856366,24850870
"65",20130903,59880289,36954011
"66",20130904,62540522,28307176
"67",20130905,56892542,22995423
"68",20130906,49616790,39158894
"69",20130907,30541111,21183498
"70",20130908,33732499,19309073
"71",20130909,58151510,59620723
"72",20130910,73587891,22163179
"73",20130911,44816733,45683548
"74",20130912,55029723,25796491
"75",20130913,46579891,22522576
"76",20130914,27923126,37203448
"77",20130915,62317467,41569749
"78",20130916,86070235,39477223
"79",20130917,64281907,33536204
"80",20130918,44708625,25504148
"81",20130919,29446299,11589266
"82",20130920,21108577,28424647
"83",20130921,26187852,15746720
"84",20130922,54982790,26026381
"85",20130923,68262582,35920478
"86",20130924,69040060,38529757
"87",20130925,61798915,26818967
"88",20130926,56460119,43298059
"89",20130927,76892217,42193665
"90",20130928,41406678,38946493
"91",20130929,51082475,50162348
"92",20130930,50198626,42442638
"93",20131001,19747728,10955976
"94",20131002,20312556,12609782
"95",20131003,20813437,16463553
"96",20131004,15984553,13955187
"97",20131005,15864323,18777503
"98",20131006,21533573,16060138
"99",20131007,38481289,27848192
"100",20131008,116446881,57542529
"101",20131009,77586756,47600584
"102",20131010,91599606,52380770
"103",20131011,99417561,48949452
"104",20131012,79256076,32394331
"105",20131013,57461431,23313094
"106",20131014,120365083,41253851
"107",20131015,101922121,53023140
"108",20131016,104826172,32761084
"109",20131017,95165826,44399812
"110",20131018,60849908,63544516
